,id,bdate,bmonth,dandm
12759,642019,23,10,"23,10"
12760,642151,30,3,"30,3"
12761,642160,28,3,"28,3"
12762,642389,29,6,"29,6"
12763,642462,26,3,"26,3"
12764,642474,31,12,"31,12"
12765,642477,7,2,"7,2"
12766,642478,4,11,"4,11"
12767,642517,1,4,"1,4"
12768,642576,31,8,"31,8"
12769,642592,4,3,"4,3"
12770,642681,27,5,"27,5"
12771,642685,15,7,"15,7"
12772,642712,9,12,"9,12"
12773,642717,23,8,"23,8"
12774,642747,4,11,"4,11"
12775,642861,10,3,"10,3"
12776,642884,6,6,"6,6"
12777,642908,14,9,"14,9"
12778,642909,14,6,"14,6"
12779,642916,7,8,"7,8"
12780,642998,12,12,"12,12"
12781,643029,14,11,"14,11"
12782,643052,9,8,"9,8"
12783,643154,16,11,"16,11"
12784,643168,20,3,"20,3"
12785,643272,22,11,"22,11"
12786,643313,4,10,"4,10"
12787,643330,17,3,"17,3"
12788,643357,2,11,"2,11"
12789,643467,23,3,"23,3"
12790,643489,12,7,"12,7"
12791,643533,8,12,"8,12"
12792,643566,2,8,"2,8"
12793,643647,6,12,"6,12"
12794,643704,26,8,"26,8"
12795,643714,28,6,"28,6"
12796,643724,5,5,"5,5"
12797,643725,3,3,"3,3"
12798,643741,11,4,"11,4"
12799,643786,11,3,"11,3"
12800,643811,1,12,"1,12"
12801,643914,13,7,"13,7"
12802,643924,25,3,"25,3"
12803,643927,14,3,"14,3"
12804,643995,20,5,"20,5"
12805,643998,20,3,"20,3"
12806,644008,22,2,"22,2"
12807,644078,25,4,"25,4"
12808,644100,1,6,"1,6"
12809,644133,9,7,"9,7"
12810,644266,14,6,"14,6"
12811,644290,22,6,"22,6"
12812,644320,6,8,"6,8"
12813,644341,2,10,"2,10"
12814,644453,3,7,"3,7"
12815,644482,16,5,"16,5"
12816,644522,21,9,"21,9"
12817,644535,4,12,"4,12"
12818,644541,16,7,"16,7"
12819,644542,13,11,"13,11"
12820,644559,13,3,"13,3"
12821,644583,2,2,"2,2"
12822,644590,6,4,"6,4"
12823,644619,23,9,"23,9"
12824,644753,27,5,"27,5"
12825,644767,2,1,"2,1"
12826,644800,31,7,"31,7"
12827,644969,12,5,"12,5"
12828,644978,28,12,"28,12"
12829,644984,28,11,"28,11"
12830,644997,20,4,"20,4"
12831,645169,1,9,"1,9"
12832,645245,23,8,"23,8"
12833,645297,31,3,"31,3"
12834,645347,17,2,"17,2"
12835,645357,25,9,"25,9"
12836,645360,15,6,"15,6"
12837,645403,21,4,"21,4"
12838,645411,24,11,"24,11"
12839,645531,2,5,"2,5"
12840,645599,12,8,"12,8"
12841,645646,28,7,"28,7"
12842,645695,11,12,"11,12"
12843,645700,14,10,"14,10"
12844,645723,13,5,"13,5"
12845,645732,19,11,"19,11"
12846,645802,3,8,"3,8"
12847,645806,24,3,"24,3"
12848,645880,22,1,"22,1"
12849,646039,6,11,"6,11"
12850,646103,28,4,"28,4"
12851,646150,2,3,"2,3"
12852,646270,20,11,"20,11"
12853,646324,22,1,"22,1"
12854,646407,1,2,"1,2"
12855,646425,15,12,"15,12"
12856,646466,8,5,"8,5"
12857,646479,17,5,"17,5"
12858,646482,25,11,"25,11"
12859,646533,20,7,"20,7"
12860,646638,8,9,"8,9"
12861,646767,28,7,"28,7"
12862,646819,3,6,"3,6"
12863,646854,23,1,"23,1"
12864,646875,22,7,"22,7"
12865,646937,16,7,"16,7"
12866,646972,26,9,"26,9"
12867,647002,28,6,"28,6"
12868,647028,15,6,"15,6"
12869,647050,5,9,"5,9"
12870,647053,5,11,"5,11"
12871,647278,9,8,"9,8"
12872,647369,30,4,"30,4"
12873,647466,11,9,"11,9"
12874,647484,7,6,"7,6"
12875,647497,29,6,"29,6"
12876,647576,21,3,"21,3"
12877,647618,21,11,"21,11"
12878,647671,27,2,"27,2"
12879,647695,18,8,"18,8"
12880,647712,22,5,"22,5"
12881,647752,18,6,"18,6"
12882,647847,26,5,"26,5"
12883,647866,14,3,"14,3"
12884,647880,30,9,"30,9"
12885,647912,23,7,"23,7"
12886,647924,21,12,"21,12"
12887,647925,19,9,"19,9"
12888,647948,29,6,"29,6"
12889,648001,13,2,"13,2"
12890,648021,27,5,"27,5"
12891,648042,17,4,"17,4"
12892,648054,11,8,"11,8"
12893,648060,4,11,"4,11"
12894,648216,21,6,"21,6"
12895,648221,10,3,"10,3"
12896,648294,6,5,"6,5"
12897,648432,9,5,"9,5"
12898,648500,20,3,"20,3"
12899,648548,15,6,"15,6"
12900,648553,31,12,"31,12"
12901,648556,9,12,"9,12"
12902,648588,13,9,"13,9"
12903,648660,16,12,"16,12"
12904,648706,18,11,"18,11"
12905,648943,23,9,"23,9"
12906,649135,9,10,"9,10"
12907,649184,19,7,"19,7"
12908,649392,26,8,"26,8"
12909,649509,20,1,"20,1"
12910,649554,11,2,"11,2"
12911,649651,8,8,"8,8"
12912,649678,7,12,"7,12"
12913,649694,3,3,"3,3"
12914,649696,26,9,"26,9"
12915,649723,2,11,"2,11"
12916,649847,13,11,"13,11"
12917,649944,23,11,"23,11"
12918,650023,8,9,"8,9"
12919,650032,14,3,"14,3"
12920,650067,5,7,"5,7"
12921,650075,7,1,"7,1"
12922,650094,18,10,"18,10"
12923,650115,24,11,"24,11"
12924,650213,11,6,"11,6"
12925,650228,27,8,"27,8"
12926,650250,13,5,"13,5"
12927,650321,22,7,"22,7"
12928,650357,10,6,"10,6"
12929,650371,25,8,"25,8"
12930,650450,13,3,"13,3"
12931,650566,4,5,"4,5"
12932,650670,9,9,"9,9"
12933,650755,7,2,"7,2"
12934,650795,12,1,"12,1"
12935,650841,28,1,"28,1"
12936,650907,3,11,"3,11"
12937,650966,12,8,"12,8"
12938,651002,28,11,"28,11"
12939,651022,31,7,"31,7"
12940,651095,12,8,"12,8"
12941,651166,12,4,"12,4"
12942,651174,4,4,"4,4"
12943,651213,2,4,"2,4"
12944,651223,13,7,"13,7"
12945,651248,18,4,"18,4"
12946,651273,28,10,"28,10"
12947,651361,17,10,"17,10"
12948,651396,6,2,"6,2"
12949,651414,1,11,"1,11"
12950,651427,8,1,"8,1"
12951,651455,17,5,"17,5"
12952,651472,4,12,"4,12"
12953,651698,22,7,"22,7"
12954,651746,28,2,"28,2"
12955,651760,1,1,"1,1"
12956,651799,23,5,"23,5"
12957,651854,21,9,"21,9"
12958,651915,1,2,"1,2"
12959,651981,6,7,"6,7"
12960,652037,23,7,"23,7"
12961,652043,20,4,"20,4"
12962,652045,3,4,"3,4"
12963,652049,6,3,"6,3"
12964,652066,16,4,"16,4"
12965,652125,24,9,"24,9"
12966,652188,22,2,"22,2"
12967,652189,16,3,"16,3"
12968,652213,18,6,"18,6"
